# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.16.1
#@/tick	543
#@/user_id	ee5c281b-b5db-4ec4-913e-07f7ba7a1927
ming zhen tan 	名侦探	c=1 d=0.891366 t=543
mo shi 	模式	c=3 d=2.73451 t=543
mo ying 	末影	c=1 d=0.995012 t=543
mo zu 	模组	c=1 d=0.960789 t=543
mu lu 	目录	c=1 d=0.946485 t=543
na xie 	哪些	c=1 d=0.778801 t=543
ne 	呢	c=1 d=0.946485 t=543
neng ba 	能把	c=1 d=0.955997 t=543
neng kuai su 	能快速	c=1 d=0.941765 t=543
ni hao 	你好	c=4 d=3.89721 t=543
ni shi shui 	你是谁	c=1 d=0.97531 t=543
nian jie 	年节	c=1 d=0.839457 t=543
pai hang 	排行	c=1 d=0.852144 t=543
pang ju 	胖橘	c=2 d=1.96546 t=543
pei zhi 	配置	c=4 d=3.83448 t=543
pei zhi wei 	裴志伟	c=2 d=1.9802 t=543
pian 	片	c=0 d=0.0904837 t=543
qi chuang 	起床	c=1 d=0.860708 t=543
qian 	前	c=1 d=0.856415 t=543
qian zhuan 	前传	c=1 d=0.909373 t=543
qing 	请	c=1 d=0.985112 t=543
qing hua yuan 	清华源	c=2 d=1.91678 t=543
qing meng 	清梦	c=0 d=0.0960789 t=543
qing meng feng yun 	清梦风云	c=2 d=1.93605 t=543
qing xiang xi 	请详细	c=1 d=0.794534 t=543
qu xiao 	取消	c=1 d=0.995012 t=543
quan xian 	权限	c=1 d=1 t=543
ren wu 	任务	c=1 d=1.0067 t=543
ri zi 	日子	c=1 d=0.860708 t=543
rong pu 	蓉蒲	c=1 d=0.951229 t=543
rong qi 	容器	c=1 d=0.965605 t=543
ru guo 	如果	c=1 d=0.955997 t=543
ru he 	如何	c=27 d=14.7221 t=543
ruan jian 	软件	c=3 d=2.02206 t=543
sha mo 	沙漠	c=1 d=0.99005 t=543
shao kang 	少康	c=1 d=0.965605 t=543
shao nian 	少年	c=1 d=0.839457 t=543
she zhi 	设置	c=1 d=0.985112 t=543
shen cai 	身材	c=1 d=1 t=543
shen duan 	神断	c=1 d=0.913931 t=543
shen me 	什么	c=1 d=0.790571 t=543
shen miao 	神庙	c=1 d=0.941765 t=543
shen tan 	神探	c=3 d=2.69204 t=543
sheng cun 	生存	c=1 d=0.88692 t=543
sheng jing 	圣经	c=1 d=1 t=543
sheng shi 	盛世	c=0 d=0.0995012 t=543
sheng shi tian xia 	盛世天下	c=1 d=1 t=543
shi 	是	c=1 d=0.995012 t=543
shi fou 	是否	c=2 d=1.34905 t=543
shi jie 	世界	c=5 d=4.5253 t=543
shi pin 	视频	c=1 d=1 t=543
shi shen me 	是什么	c=2 d=1.46838 t=543
shi wu 	食物	c=2 d=2.06481 t=543
shi wu xiang 	食物箱	c=1 d=1 t=543
shi yong 	使用	c=2 d=1.63743 t=543
shi yong yu 	适用于	c=1 d=0.980199 t=543
shu ru fa 	输入法	c=1 d=0.995012 t=543
shua guai long 	刷怪笼	c=2 d=1.99005 t=543
shua xin 	刷新	c=1 d=0.722527 t=543
shuo 	说	c=1 d=0.847894 t=543
shuo ming 	说明	c=2 d=1.95101 t=543
si 	丝	c=1 d=0.918512 t=543
song ren 	松仁	c=0 d=0.0927743 t=543
song ren mi 	松仁米	c=1 d=0.932394 t=543
su dan 	苏丹	c=1 d=0.97531 t=543
su dan de you xi 	苏丹的游戏	c=1 d=0.965605 t=543
suo ping 	锁屏	c=1 d=0.951229 t=543
suo you de 	所有的	c=1 d=0.878095 t=543
tai du 	台独	c=1 d=0.923116 t=543
tai wan 	台湾	c=3 d=2.66295 t=543
tai yuan 	太原	c=1 d=0.822835 t=543
tan 	谈	c=1 d=1 t=543
tian qi 	天气	c=1 d=0.810584 t=543
tian xia 	天下	c=0 d=0.0995012 t=543
tiao 	条	c=1 d=0.865022 t=543
tiao jian 	条件	c=1 d=0.726149 t=543
tiao zheng 	调整	c=1 d=0.985112 t=543
tong shi 	同时	c=2 d=1.80121 t=543
tou ying 	投影	c=1 d=0.960789 t=543
tu biao 	图标	c=1 d=0.856415 t=543
tu guo 	涂过	c=1 d=0.951229 t=543
tui chu 	退出	c=1 d=0.980199 t=543
tui jian 	推荐	c=2 d=1.96561 t=543
tui jian yi ge 	推荐一个	c=2 d=1.83739 t=543
wa a a 	哇啊啊	c=0 d=0.0995012 t=543
wa wa 	洼洼	c=1 d=1 t=543
wai 	外	c=0 d=0.0965605 t=543
wan 	完	c=2 d=1.95072 t=543
wan 	玩	c=2 d=1.95084 t=543
wang guo zhi lei 	王国之泪	c=1 d=0.937067 t=543
wang ou 	王鸥	c=1 d=0.995012 t=543
wang shi zhi duo shao 	往事知多少	c=1 d=0.99005 t=543
wang wang 	旺旺	c=2 d=1.97531 t=543
wang wang 	汪汪	c=1 d=0.995012 t=543
wang zhi an 	王志安	c=4 d=3.52172 t=543
wei shen me 	为什么	c=1 d=0.965605 t=543
wei wei wei 	喂喂喂	c=0 d=0.0985112 t=543
wei wei wei wei 	喂喂喂喂	c=0 d=0.0985112 t=543
wei wei wei wei wei wei wei wei wei wei wei wei wei wei wei 	喂喂喂喂喂喂喂喂喂喂喂喂喂喂喂	c=1 d=0.99005 t=543
wei xin 	微信	c=3 d=1.88402 t=543
wei zhi 	位置	c=1 d=1 t=543
wen jian 	文件	c=2 d=1.86628 t=543
wen ti 	问题	c=1 d=0.99005 t=543
wo de 	我的	c=5 d=4.50273 t=543
wo de shi jie 	我的世界	c=14 d=10.6785 t=543
wo jue de 	我觉得	c=1 d=1 t=543
wo shi 	我是	c=3 d=2.90187 t=543
wo xin chang dan 	卧薪尝胆	c=4 d=3.85283 t=543
wu fa 	无法	c=1 d=0.97531 t=543
wu gong 	武功	c=1 d=0.847894 t=543
wu qi long 	吴奇隆	c=1 d=0.99005 t=543
wu yuan min 	武元敏	c=1 d=0.932394 t=543
xi 	洗	c=1 d=0.847894 t=543
xi qing 	喜庆	c=1 d=0.852144 t=543
xi tong 	系统	c=5 d=4.08063 t=543
xia 	下	c=12 d=9.83496 t=543
xian shi 	显示	c=1 d=0.980199 t=543
xiang 	箱	c=4 d=4.11052 t=543
xiang xi 	向西	c=1 d=0.822835 t=543
xiang xi 	详细	c=0 d=0.0790571 t=543
xiao er 	小儿	c=1 d=0.97531 t=543
xiao lou zuo ye you dong feng 	小楼昨夜又东风	c=1 d=0.995012 t=543
xiao tou 	小偷	c=2 d=1.97521 t=543
xie zai 	卸载	c=3 d=1.97292 t=543
xin xi 	信息	c=1 d=0.83527 t=543
xu ni ji 	虚拟机	c=3 d=2.92244 t=543
xuan qu 	选取	c=1 d=1 t=543
xun lei 	迅雷	c=2 d=1.98511 t=543
yang 	样	c=1 d=0.818731 t=543
yang rong 	杨蓉	c=5 d=3.31589 t=543
yi 	以	c=1 d=0.951229 t=543
yi chang 	异常	c=1 d=0.97531 t=543
yi dong 	移动	c=4 d=2.7889 t=543
yi ge 	一个	c=2 d=1.90894 t=543
yi jing 	已经	c=1 d=0.909373 t=543
yi tian 	一天	c=1 d=0.831104 t=543
yi xia 	一下	c=2 d=1.72417 t=543
yi xiang 	一向	c=1 d=0.814647 t=543
yi zhi 	一直	c=1 d=0.99005 t=543
yin du 	印度	c=1 d=0.980199 t=543
yin shi 	饮食	c=1 d=0.865022 t=543
ying gai 	应该	c=2 d=1.92218 t=543
ying pan 	硬盘	c=1 d=1 t=543
ying yong 	应用	c=1 d=0.970446 t=543
yong 	用	c=2 d=1.62285 t=543
yong de 	用的	c=0 d=0.0900325 t=543
yong le 	用了	c=1 d=0.980199 t=543
you 	有	c=1 d=0.774916 t=543
you que dian 	优缺点	c=1 d=0.794534 t=543
you shen me 	有什么	c=1 d=0.778801 t=543
you xi 	游戏	c=1 d=0.873716 t=543
yu 	与	c=0 d=0.097531 t=543
yu shao nian 	与少年	c=1 d=0.980199 t=543
yuan cai liao 	原材料	c=1 d=0.960789 t=543
yun xing 	运行	c=1 d=0.970446 t=543
za wu 	杂物	c=1 d=0.97531 t=543
za wu xiang 	杂物箱	c=1 d=1 t=543
zai na 	在哪	c=1 d=0.951229 t=543
zai zai 	仔仔	c=1 d=1 t=543
zen me 	怎么	c=1 d=0.814647 t=543
zhang tian ai 	张天爱	c=1 d=1 t=543
zhao jin mai 	赵今麦	c=1 d=0.878095 t=543
zhe ge 	这个	c=1 d=1 t=543
zheng ti 	整体	c=1 d=0.970446 t=543
zhi pai 	纸牌	c=1 d=0.737123 t=543
zhi wu 	植物	c=1 d=0.995012 t=543
zhong 	中	c=4 d=3.07421 t=543
zhong guo 	中国	c=1 d=0.88692 t=543
zhong ji zhuang bei 	终极装备	c=1 d=0.995012 t=543
zhong mei 	中美	c=1 d=0.970446 t=543
zhong wen 	中文	c=1 d=0.970446 t=543
zhong zi 	种子	c=1 d=0.995012 t=543
zhou sui 	周岁	c=1 d=0.980199 t=543
zhu 	猪	c=0 d=0.0715338 t=543
zhu xiao 	注销	c=1 d=0.946485 t=543
zhu zhong 	注重	c=1 d=0.826959 t=543
zhuo mian 	桌面	c=5 d=4.55028 t=543
zi cai 	紫菜	c=1 d=0.913931 t=543
zi dong 	自动	c=1 d=0.99005 t=543
zi ye ning xiao 	紫夜凝霄	c=1 d=0.97531 t=543
